epsilon,delta,batch_size,max_grad_norm,cifar_label,victim_accuracy,attack_accuracy
0.1,1e-05,128,0.1,8,27.57,50.50505051
0.1,1e-05,128,0.1,9,27.57,50
0.1,1e-05,128,10,0,14.15,49.40711462
0.1,1e-05,128,10,1,14.15,50.1002004
0.1,1e-05,128,10,2,14.15,50.42864347
0.1,1e-05,128,10,3,14.15,50.25125628
0.1,1e-05,128,10,4,14.15,50.12531328
0.1,1e-05,128,10,5,14.15,50.47955578
0.1,1e-05,128,10,6,14.15,49.28536225
0.1,1e-05,128,10,7,14.15,49.45598417
0.1,1e-05,128,10,8,14.15,50.50505051
0.1,1e-05,128,10,9,14.15,50
0.1,1e-05,128,100,0,8.78,49.40711462
0.1,1e-05,128,100,1,8.78,50.1002004
0.1,1e-05,128,100,2,8.78,50.42864347
0.1,1e-05,128,100,3,8.78,50.25125628
0.1,1e-05,128,100,4,8.78,50.12531328
0.1,1e-05,128,100,5,8.78,50.47955578
0.1,1e-05,128,100,6,8.78,49.28536225
0.1,1e-05,128,100,7,8.78,49.45598417
0.1,1e-05,128,100,8,8.78,50.50505051
0.1,1e-05,128,100,9,8.78,50
0.1,1e-05,512,0.1,0,24.99,49.40711462
0.1,1e-05,512,0.1,1,24.99,50.1002004
0.1,1e-05,512,0.1,2,24.99,50.42864347
0.1,1e-05,512,0.1,3,24.99,50.25125628
0.1,1e-05,512,0.1,4,24.99,50.12531328
0.1,1e-05,512,0.1,5,24.99,50.47955578
0.1,1e-05,512,0.1,6,24.99,49.28536225
0.1,1e-05,512,0.1,7,24.99,49.45598417
0.1,1e-05,512,0.1,8,24.99,50.50505051
0.1,1e-05,512,0.1,9,24.99,50
0.1,1e-05,512,10,0,11.56,49.40711462
0.1,1e-05,512,10,1,11.56,50.1002004
0.1,1e-05,512,10,2,11.56,50.42864347
0.1,1e-05,512,10,3,11.56,50.25125628
0.1,1e-05,512,10,4,11.56,50.12531328
0.1,1e-05,512,10,5,11.56,50.47955578
